noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,,cpv,45262100,,
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,LOT-0000,cpv,45262100,,
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,,cpv,45332200,,
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,LOT-0000,,,,
c69749e4-68cc-4d41-aabc-ab5cf295998f,1,,,,,
c69749e4-68cc-4d41-aabc-ab5cf295998f,1,LOT-0000,,,,
7b083735-d2fe-4149-b920-ca6a524868e3,1,,cpv,45000000,"43000000,44000000,71000000",
7b083735-d2fe-4149-b920-ca6a524868e3,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
62017582-b322-43ba-b234-99c6d10e7cde,1,,cpv,45000000,"43000000,44000000,71000000",
62017582-b322-43ba-b234-99c6d10e7cde,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
8168d760-e364-4120-9df0-b30c308f22c7,1,,cpv,45000000,"43000000,44000000,71000000",
8168d760-e364-4120-9df0-b30c308f22c7,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,,cpv,45110000,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,LOT-0000,cpv,45110000,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,,cpv,45252300,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,LOT-0001,cpv,45252300,,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,,cpv,45313100,,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,LOT-0000,cpv,45313100,,
1fddcaa3-767c-4634-bea9-8c172601ff9e,01,,cpv,34144000,,
1fddcaa3-767c-4634-bea9-8c172601ff9e,01,LOT-0001,cpv,34144000,,
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,,cpv,45324000,,
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,LOT-0001,cpv,45324000,,
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,,cpv,45000000,,
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,LOT-0000,cpv,45000000,,
69e0360e-ef46-4cfc-93dc-c2f1a34d1292,01,,cpv,72260000,72267100,
69e0360e-ef46-4cfc-93dc-c2f1a34d1292,01,LOT-0001,cpv,72260000,72267100,
008f59f2-eb85-4cae-abb1-fc517ee97374,01,,cpv,34144210,,
008f59f2-eb85-4cae-abb1-fc517ee97374,01,LOT-0001,cpv,34144210,,
a530858f-6d25-4f15-85a0-5947d0f21719,01,,cpv,34144210,,
a530858f-6d25-4f15-85a0-5947d0f21719,01,LOT-0001,cpv,34144210,,
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,,cpv,79710000,,
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,LOT-0001,cpv,79710000,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,,cpv,71200000,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,LOT-0001,cpv,71200000,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,,cpv,33113000,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,LOT-0001,cpv,33113000,,
e6f5cf35-ea68-40a6-b4e7-9cda0aa4174b,01,,cpv,24111900,,
e6f5cf35-ea68-40a6-b4e7-9cda0aa4174b,01,LOT-0001,cpv,24111900,,
bd27ea21-4be0-43b2-ade5-0789e54cbaee,01,,cpv,71240000,71320000,
bd27ea21-4be0-43b2-ade5-0789e54cbaee,01,LOT-0001,cpv,71240000,71320000,
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,,cpv,45262100,,
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,LOT-0001,cpv,45262100,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,,cpv,45000000,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,LOT-0000,cpv,45000000,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,,cpv,60160000,64112000,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0001,cpv,60160000,64112000,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0002,cpv,60160000,64112000,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0003,cpv,60160000,64112000,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0004,cpv,60160000,64112000,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0005,cpv,60160000,64112000,
381330e9-a9a0-4bc7-a13c-dcca11451662,01,,cpv,72000000,"30200000,48211000",
381330e9-a9a0-4bc7-a13c-dcca11451662,01,LOT-0001,cpv,72000000,"30200000,48211000",
fcd29cc5-5683-4216-98b9-bce47074c29b,01,,cpv,45421131,"45422000,44221200",
fcd29cc5-5683-4216-98b9-bce47074c29b,01,LOT-0000,cpv,45421131,"45422000,44221200",
55e88b1c-8f87-4059-a5e7-b883f368db49,01,,cpv,71000000,"71300000,71240000",
55e88b1c-8f87-4059-a5e7-b883f368db49,01,LOT-0001,cpv,71000000,"71300000,71240000",
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,,cpv,71322000,71322200,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,LOT-0001,cpv,71322000,"71322200,71356400",
c321c95c-20c6-4bbc-827b-02d8b709daea,01,,cpv,72268000,"72261000,80420000,80522000",
c321c95c-20c6-4bbc-827b-02d8b709daea,01,LOT-0001,cpv,72268000,"72261000,80420000,80522000",
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,,cpv,45331000,,
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,LOT-0000,cpv,45331000,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,,cpv,43310000,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,LOT-0001,cpv,43310000,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,LOT-0002,cpv,43310000,,
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,,cpv,34144210,,
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,LOT-0001,cpv,34144213,,
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,LOT-0002,cpv,34144213,,
e336f93b-93c1-488d-ab33-497cd88996cf,01,,cpv,42414210,,
e336f93b-93c1-488d-ab33-497cd88996cf,01,LOT-0001,cpv,42414210,,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,,cpv,45314000,64210000,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,LOT-0000,cpv,45314000,,
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,,cpv,71240000,71200000,
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,LOT-0001,cpv,71320000,,
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,,cpv,50000000,"50500000,50511100",
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,LOT-0001,cpv,50000000,"50500000,50511100",
6a370408-13db-4e37-84b8-9a80e96a5610,01,,cpv,32424000,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,LOT-0000,cpv,32424000,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,,cpv,63100000,63720000,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,LOT-0000,cpv,63100000,63720000,
d915e6fc-98f1-4026-b89a-ca71511550d7,01,,cpv,39150000,"39130000,39153000,39156000",
d915e6fc-98f1-4026-b89a-ca71511550d7,01,LOT-0001,cpv,39130000,39120000,
d915e6fc-98f1-4026-b89a-ca71511550d7,01,LOT-0002,cpv,39153000,"39156000,39151300",
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,,cpv,71313450,"77300000,77211500",
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,LOT-0000,cpv,71313450,"77300000,77211500",
