noticeIdentifier,noticeVersion,procedureLotResultNumber,receivedSubmissionsCount,receivedSubmissionsType
3aa224f3-9873-4526-9c23-7271cf89efd8,01,0,1,tenders
3aa224f3-9873-4526-9c23-7271cf89efd8,01,0,1,t-esubm
3aa224f3-9873-4526-9c23-7271cf89efd8,01,0,0,t-oth-eea
3aa224f3-9873-4526-9c23-7271cf89efd8,01,0,0,t-no-eea
3aa224f3-9873-4526-9c23-7271cf89efd8,01,0,0,t-sme
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,0,7,tenders
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,0,7,t-esubm
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,0,0,t-oth-eea
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,0,0,t-no-eea
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,0,7,t-sme
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,0,3,tenders
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,0,3,t-esubm
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,0,2,t-sme
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1,3,tenders
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1,3,t-esubm
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1,2,t-sme
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,2,3,tenders
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,2,3,t-esubm
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,2,2,t-sme
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,3,3,tenders
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,3,3,t-esubm
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,3,2,t-sme
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,4,3,tenders
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,4,3,t-esubm
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,4,2,t-sme
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,0,1,tenders
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,0,1,t-esubm
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,0,0,t-oth-eea
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,0,0,t-no-eea
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,0,1,t-sme
bef6cc00-924a-4e51-a18e-0439bd51379d,01,0,4,tenders
bef6cc00-924a-4e51-a18e-0439bd51379d,01,0,4,t-esubm
bef6cc00-924a-4e51-a18e-0439bd51379d,01,0,0,t-oth-eea
bef6cc00-924a-4e51-a18e-0439bd51379d,01,0,0,t-no-eea
bef6cc00-924a-4e51-a18e-0439bd51379d,01,0,4,t-sme
bef6cc00-924a-4e51-a18e-0439bd51379d,01,1,6,tenders
bef6cc00-924a-4e51-a18e-0439bd51379d,01,1,6,t-esubm
bef6cc00-924a-4e51-a18e-0439bd51379d,01,1,0,t-oth-eea
bef6cc00-924a-4e51-a18e-0439bd51379d,01,1,0,t-no-eea
bef6cc00-924a-4e51-a18e-0439bd51379d,01,1,6,t-sme
6a370408-13db-4e37-84b8-9a80e96a5610,01,0,2,tenders
6a370408-13db-4e37-84b8-9a80e96a5610,01,0,2,t-esubm
6a370408-13db-4e37-84b8-9a80e96a5610,01,0,0,t-sme
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,0,2,tenders
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,0,2,t-esubm
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,0,2,t-sme
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,0,0,tenders
05406422-b01c-4501-81f5-f3a35c83851f,01,0,10,tenders
05406422-b01c-4501-81f5-f3a35c83851f,01,0,10,t-esubm
05406422-b01c-4501-81f5-f3a35c83851f,01,0,0,t-oth-eea
05406422-b01c-4501-81f5-f3a35c83851f,01,0,0,t-no-eea
05406422-b01c-4501-81f5-f3a35c83851f,01,0,5,t-sme
671a062d-0e72-4040-807f-446ce257be29,01,0,3,tenders
671a062d-0e72-4040-807f-446ce257be29,01,0,3,t-sme
671a062d-0e72-4040-807f-446ce257be29,01,0,0,t-no-eea
671a062d-0e72-4040-807f-446ce257be29,01,0,0,t-oth-eea
671a062d-0e72-4040-807f-446ce257be29,01,0,3,t-esubm
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,0,3,tenders
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,0,3,t-esubm
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,0,3,t-sme
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,0,0,t-oth-eea
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,0,0,t-no-eea
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,1,3,tenders
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,1,3,t-esubm
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,1,3,t-sme
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,1,0,t-oth-eea
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,1,0,t-no-eea
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,0,3,tenders
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,0,3,t-esubm
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,0,1,t-oth-eea
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,0,0,t-no-eea
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,0,3,t-sme
c04ac815-abf6-4327-b5a9-43ba95631cae,01,0,12,
c04ac815-abf6-4327-b5a9-43ba95631cae,01,0,0,
c04ac815-abf6-4327-b5a9-43ba95631cae,01,0,1,
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,0,16,tenders
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,0,16,t-esubm
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,0,13,t-sme
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,0,0,t-oth-eea
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,0,0,t-no-eea
4d11e71f-98dd-451f-b082-d5af534b3236,01,0,3,
4d11e71f-98dd-451f-b082-d5af534b3236,01,0,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,0,11,
b6d328f5-cd55-4d41-9421-3734043c6787,01,0,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,0,10,
b6d328f5-cd55-4d41-9421-3734043c6787,01,0,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,0,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,1,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,1,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,1,3,
b6d328f5-cd55-4d41-9421-3734043c6787,01,1,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,2,7,
b6d328f5-cd55-4d41-9421-3734043c6787,01,2,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,2,6,
b6d328f5-cd55-4d41-9421-3734043c6787,01,2,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,2,3,
b6d328f5-cd55-4d41-9421-3734043c6787,01,3,7,
b6d328f5-cd55-4d41-9421-3734043c6787,01,3,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,3,6,
b6d328f5-cd55-4d41-9421-3734043c6787,01,3,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,3,3,
b6d328f5-cd55-4d41-9421-3734043c6787,01,4,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,4,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,4,3,
b6d328f5-cd55-4d41-9421-3734043c6787,01,4,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,5,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,5,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,5,3,
b6d328f5-cd55-4d41-9421-3734043c6787,01,5,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,6,9,
b6d328f5-cd55-4d41-9421-3734043c6787,01,6,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,6,8,
b6d328f5-cd55-4d41-9421-3734043c6787,01,6,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,6,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,7,7,
b6d328f5-cd55-4d41-9421-3734043c6787,01,7,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,7,6,
b6d328f5-cd55-4d41-9421-3734043c6787,01,7,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,7,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,8,10,
b6d328f5-cd55-4d41-9421-3734043c6787,01,8,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,8,9,
b6d328f5-cd55-4d41-9421-3734043c6787,01,8,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,8,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,9,6,
b6d328f5-cd55-4d41-9421-3734043c6787,01,9,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,9,5,
b6d328f5-cd55-4d41-9421-3734043c6787,01,9,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,9,3,
b6d328f5-cd55-4d41-9421-3734043c6787,01,10,5,
b6d328f5-cd55-4d41-9421-3734043c6787,01,10,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,10,4,
b6d328f5-cd55-4d41-9421-3734043c6787,01,10,0,
b6d328f5-cd55-4d41-9421-3734043c6787,01,11,15,
b6d328f5-cd55-4d41-9421-3734043c6787,01,11,1,
b6d328f5-cd55-4d41-9421-3734043c6787,01,11,14,
b6d328f5-cd55-4d41-9421-3734043c6787,01,11,0,
