noticeIdentifier,noticeVersion,contractIdentifier,changeNoticeVersionIdentifier,changeReasonCode,changeReasonDescription
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,CON-0000,670123-2022,add-wss,"Bei der Beauftragung einer anderen Firma als des Hauptauftragnehmers wären die Schnittstellen zwischen beiden Firmen nicht genau abzugrenzen. Somit wären die Gewährleistungen nicht mehr umsetzbar, da dann zwei Firmen an denselben Anlagen tätig wären. Die damit  verbundenen Zeitverzüge würden zudem die Fertigstellung der Baumaßnahme in Frage stellen und erhebliche Bauverzugskosten bei anderen Firmen verursachen."
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,CON-0001,268125-2024,mod-nons,"im kompletten Badebereich befanden sich noch diverse Flüssigkeiten bzw. Chemikalien, welche als gefährliche Abfälle gesondert entsorgt werden mussten. Die Leistungen waren in der Ausschreibung nicht enthalten."
008f59f2-eb85-4cae-abb1-fc517ee97374,01,,261c8962-8d48-40f1-a0f0-23e36d76c432-01,cor-pub,"Guten Tag, sehr geehrte Damen und Herren,

bei den von Ihnen heruntergeladenen Vergabeunterlagen in subreport ELViS wurden folgende Änderungen durchgeführt:

Es wurde nur eine Position im LV geändert auf Grund einer Bieterfrage. Die entsprechende Bieterfrage entnehmen Sie aus der Bieterkommunikation. 

Die Änderung des LV´s betrifft Punkt 2.1.26. Des weiteren wurde das Angebotsschreiben hinsichtlich der Angebotsfrist angepasst. Ansonsten gab es keine Änderung. Bitte beachten Sie nunmehr die neue Version der Vergabeunterlagen sowie die neue Fristen.

Angebotsfrist: 
  ALT: 15.09.2026 11:00
  NEU: 24.09.2026 13:30

Öffnungstermin: 
  ALT: 15.09.2026 11:00
  NEU: 24.09.2026 13:30"
a530858f-6d25-4f15-85a0-5947d0f21719,01,,65e67b98-df6e-4179-867b-82b24da67322-01,info-release,"Ergänzung de Dokuments ""Fahrzeugdesign"""
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,,e76e6391-5279-4311-a5dc-5bd0ee85f9c8-01,update-add,Die Angebotsfrist wurde verlängert.
deebdf92-64cc-4802-981c-de0c3eef80e2,01,,7e368343-ae28-4498-9ad9-783f1282b8be-01,cor-buy,Vertragspartei und Dienstleister
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,,0a5654f4-8bd9-427b-bc11-19ecdb66f273-01,cor-buy,
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,,6b0ef17a-2c66-44ca-818a-1a92f6a049c2-01,cor-pub,Grund der Änderung ist die falsche Angabe der geschätzten Dauer
d915e6fc-98f1-4026-b89a-ca71511550d7,01,,30b5edd5-240c-4cfe-9dd7-4d9b53ac5189-01,cor-buy,"Im Rahmen einer erneuten Prüfung der Bekanntmachungen wurden
Fehler festgestellt, die entsprechende Korrekturen erforderlich machten."
eca54e1b-066b-4624-9b25-52c469e4b387,01,,78985186-2b48-4155-954e-7b5eab223da4-01,update-add,
d96a9962-729c-44a2-a060-f4fa4fa5caa6,01,,23e19ec6-e184-4044-8a63-623f6b1df40e-01,cor-buy,"Die Mindestanforderung (Vordruck 1) Unternehmensdarstellung / Firmenprofil wurde korrigiert:
Alt: ""...mindestens 5 Mitarbeiter in Festanstellung sowie Geschäftsführer / Partner beschäftigt haben...""
Neu: ""...mindestens 2 Mitarbeiter in Festanstellung sowie Geschäftsführer / Partner beschäftigt haben...""

Die Angebotsfrist wurde um eine Woche verlängert und findet am 08.10.2026, 10:00 Uhr statt."
e43bf811-04c1-4456-a92e-b8059fc60905,01,,e41ee7a5-a079-4954-a882-7217e8fd45a7-01,cor-buy,Die Vergabeunterlagen (Eignugnsbogen V2) wurden geändert.
99e8a48e-55be-4c76-b600-3777e7cba28e,01,,64d45504-e836-4cd4-8e0a-9a4e6e0166ae-01,update-add,Aufgrund des hohen Aufkommens an Bieterfragen und daraufhin erforderlichen Änderungen an den Vergabeunterlagen wurde die Frist zur Abgabe der Angebote verlängert.
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,,faa7206b-04fb-4c04-900a-b0902964c457-01,update-add,"Die Angebotsfrist wurde von 29.09.2026 um 10:30 Uhr auf 15.10.2026 um 10:30 Uhr verlängert, die Bindefrist von 02.11.2026 auf 16.11.2026 geändert."
