noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,LOT-0000,False
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,LOT-0000,
7b083735-d2fe-4149-b920-ca6a524868e3,1,LOT-0000,
62017582-b322-43ba-b234-99c6d10e7cde,1,LOT-0000,
8168d760-e364-4120-9df0-b30c308f22c7,1,LOT-0000,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,LOT-0000,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,LOT-0001,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,LOT-0000,False
1fddcaa3-767c-4634-bea9-8c172601ff9e,01,LOT-0001,True
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,LOT-0001,True
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,LOT-0000,False
69e0360e-ef46-4cfc-93dc-c2f1a34d1292,01,LOT-0001,True
008f59f2-eb85-4cae-abb1-fc517ee97374,01,LOT-0001,True
a530858f-6d25-4f15-85a0-5947d0f21719,01,LOT-0001,False
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,LOT-0001,True
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,LOT-0001,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,LOT-0001,
e6f5cf35-ea68-40a6-b4e7-9cda0aa4174b,01,LOT-0001,True
bd27ea21-4be0-43b2-ade5-0789e54cbaee,01,LOT-0001,True
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,LOT-0001,False
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,LOT-0000,False
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0001,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0002,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0003,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0004,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0005,
381330e9-a9a0-4bc7-a13c-dcca11451662,01,LOT-0001,False
fcd29cc5-5683-4216-98b9-bce47074c29b,01,LOT-0000,True
55e88b1c-8f87-4059-a5e7-b883f368db49,01,LOT-0001,True
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,LOT-0001,
c321c95c-20c6-4bbc-827b-02d8b709daea,01,LOT-0001,False
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,LOT-0000,False
bef6cc00-924a-4e51-a18e-0439bd51379d,01,LOT-0001,
