noticeIdentifier,noticeVersion,procedureLotResultNumber,cvdContractType,vehicleCategory,vehicles,zeroEmissionVehicles,cleanVehicles
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,0,oth-serv-contr,m1,72,0,31
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,0,oth-serv-contr,n1,278,0,119
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1,oth-serv-contr,m1,73,0,31
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1,oth-serv-contr,n1,278,0,119
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,2,oth-serv-contr,m1,73,0,31
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,2,oth-serv-contr,n1,278,0,119
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,3,oth-serv-contr,m1,72,0,31
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,3,oth-serv-contr,n1,124,0,54
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,4,oth-serv-contr,m1,72,0,31
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,4,oth-serv-contr,n1,124,0,54
43f1eed3-92c4-4888-a2ae-b1de0485dec9,01,0,veh-acq,n3,3,0,3
43f1eed3-92c4-4888-a2ae-b1de0485dec9,01,1,veh-acq,n3,3,0,3
ca24ac0c-3c27-491e-a1e7-908958fd804d,01,0,veh-acq,n3,1,0,0
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,0,veh-acq,n3,10,0,0
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,1,veh-acq,n3,10,0,0
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,2,veh-acq,n3,10,0,0
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,3,veh-acq,n3,10,0,0
5efadda4-49d5-4acd-b026-868aa4239f3f,01,0,veh-acq,n3,1,0,0
9fab6856-357f-44cb-a8f7-1b3a015751da,01,0,veh-acq,m1,63,0,15
