noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,"Land Berlin, vertreten durch das Bezirksamt Treptow-Köpenick von Berlin",11-1393306000-19,Berlin,12414,DE300,DEU,,,buyer,,omu-lbeh,,,,
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,Vergabekammer des Landes Berlin,11-1300000V00-74,Berlin,10825,DE300,DEU,,,reviewer,,,,,,
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,Deutsche Bundesbank,991-80008-08,Frankfurt am Main,60329,DE712,DEU,https://www.bundesbank.de,,buyer,,,,,,
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,Vergabekammer des Bundes beim Bundeskartellamt,t:022894990,Bonn,53123,DEA22,DEU,,,reviewer,,,,,,
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,Klum GmbH,HRB1076,Bad Camberg,65520,DE723,DEU,,,tenderer,,,,,,
c69749e4-68cc-4d41-aabc-ab5cf295998f,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei, Verdingungsstelle",,Erfurt,99084,,DEU,,,buyer,,,,,,
7b083735-d2fe-4149-b920-ca6a524868e3,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei, Verdingungsstelle",,Erfurt,99084,,DEU,,,buyer,,,,,,
62017582-b322-43ba-b234-99c6d10e7cde,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei-Vergabestelle",,Erfurt,99084,,DEU,https://www.erfurt.de/ef111226.html,,buyer,,,,,,
8168d760-e364-4120-9df0-b30c308f22c7,1,"Landeshauptstadt Erfurt, Stadtverwaltung, Stadtkämmerei-Vergabestelle",,Erfurt,99084,,DEU,https://www.erfurt.de/ef111226.html,,buyer,,,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,Stadt Bad Rappenau,8161,Bad Rappenau,74906,DE118,DEU,www.badrappenau.de,,buyer,,,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,Vergabekammer Baden Württemberg,08-A9866-40,Karlsruhe,76137,DE122,DEU,,,reviewer,,,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,JMS GmbH & Co. KG,90489/01139,Weinstadt,71384,DE116,DEU,,,tenderer,,,,,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,SWE UmweltService GmbH,Berichtseinheit-ID 00004531,Erfurt,99086,DEG01,DEU,https://www.stadtwerke-erfurt.de,,buyer,,pub-undert,,,,
