noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,,Berlin,12435,DE300,DEU
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,LOT-0000,Berlin,12435,DE300,DEU
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,,,,,DEU
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,LOT-0000,,,,DEU
c69749e4-68cc-4d41-aabc-ab5cf295998f,1,,,,,
c69749e4-68cc-4d41-aabc-ab5cf295998f,1,LOT-0000,,,,
7b083735-d2fe-4149-b920-ca6a524868e3,1,,,,,
7b083735-d2fe-4149-b920-ca6a524868e3,1,LOT-0000,,,,
62017582-b322-43ba-b234-99c6d10e7cde,1,,,,,
62017582-b322-43ba-b234-99c6d10e7cde,1,LOT-0000,,,,
8168d760-e364-4120-9df0-b30c308f22c7,1,,,,,
8168d760-e364-4120-9df0-b30c308f22c7,1,LOT-0000,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,,Bad Rappenau,74906,DE118,DEU
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,LOT-0000,Bad Rappenau,74906,DE118,DEU
3aa224f3-9873-4526-9c23-7271cf89efd8,01,,Erfurt,99087,DEG01,DEU
3aa224f3-9873-4526-9c23-7271cf89efd8,01,LOT-0001,Erfurt,99087,DEG01,DEU
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,,Gießen,35398,DE721,DEU
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,LOT-0000,Gießen,35398,DE721,DEU
1fddcaa3-767c-4634-bea9-8c172601ff9e,01,,,,DEF06,DEU
1fddcaa3-767c-4634-bea9-8c172601ff9e,01,LOT-0001,,,DEF06,DEU
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,,,,DE935,DEU
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,LOT-0001,,,DE935,DEU
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,,Bremerhaven,27574,DE502,DEU
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,LOT-0000,Bremerhaven,27574,DE502,DEU
69e0360e-ef46-4cfc-93dc-c2f1a34d1292,01,,Köln,50923,DEA23,DEU
69e0360e-ef46-4cfc-93dc-c2f1a34d1292,01,LOT-0001,Köln,50923,DEA23,DEU
008f59f2-eb85-4cae-abb1-fc517ee97374,01,,,,DE719,DEU
008f59f2-eb85-4cae-abb1-fc517ee97374,01,LOT-0001,,,DE719,DEU
a530858f-6d25-4f15-85a0-5947d0f21719,01,,,,,
a530858f-6d25-4f15-85a0-5947d0f21719,01,LOT-0001,,,,
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,,,,DEB35,DEU
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,LOT-0001,,,DEB35,DEU
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,,Bad Salzungen,36421,DEG0R,DEU
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,LOT-0001,Bad Salzungen,36433,DEG0R,DEU
