file,rows_before,rows_after,rows_removed,pct_removed
notice.csv,1184,1184,0,0.0
procedure.csv,1184,1184,0,0.0
purpose.csv,2734,2734,0,0.0
classification.csv,2734,2734,0,0.0
placeOfPerformance.csv,3049,2951,98,3.21
duration.csv,1016,1016,0,0.0
submissionTerms.csv,1441,1441,0,0.0
organisation.csv,2594,2594,0,0.0
lot.csv,1550,1550,0,0.0
tender.csv,409,409,0,0.0
contract.csv,380,380,0,0.0
procedureLotResult.csv,431,431,0,0.0
receivedSubmissions.csv,1589,1109,480,30.21
noticeResult.csv,413,413,0,0.0
changes.csv,195,195,0,0.0
secondStage.csv,1058,1058,0,0.0
cvdInformation.csv,19,19,0,0.0
additionalInformation.csv,1097,1097,0,0.0
strategicProcurement.csv,1067,1067,0,0.0
