noticeIdentifier,noticeVersion,noticeValue,noticeValueCurrency,noticeFrameworkValue,noticeFrameworkValueCurrency
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,,,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,2387984.00,EUR,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,337994.58,EUR,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,4503019.57,EUR,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,0.01,EUR,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,,,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,,,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,,,,
05406422-b01c-4501-81f5-f3a35c83851f,01,231488.00,EUR,,
671a062d-0e72-4040-807f-446ce257be29,01,34516.90,EUR,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,,,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,125268.24,EUR,,
c04ac815-abf6-4327-b5a9-43ba95631cae,01,,,,
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,,,,
4d11e71f-98dd-451f-b082-d5af534b3236,01,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,158566.38,EUR,,
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,0.00,EUR,,
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,3905083.53,EUR,,
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,0.00,EUR,,
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,116636,EUR,,
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,1.00,EUR,,
89a419d8-3f95-4702-993f-d8beec8f6caa,01,91536.00,EUR,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,606946.30,EUR,,
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,586000.00,EUR,,
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,1793174.27,EUR,,
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,146510.10,EUR,,
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,0,EUR,,
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,,,,
c4745a16-5769-4144-a01f-0802676c2ac0,01,,,1500000.00,EUR
63de9706-6f8e-416b-9d0c-617396a34c87,01,444530.70,EUR,,
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,82211.28,EUR,,
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,,,,
29c52430-b029-4424-8ca7-24374715bf58,01,846803.9,EUR,,
4b6da03a-87a6-453f-a25a-669cc405f290,01,1.00,EUR,,
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,146890.07,EUR,,
ea2006a9-9224-467d-865e-5dd8134a2dbd,01,806146.91,EUR,,
28c8aa4c-208a-46f3-b333-35c568928d49,01,,,,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,,,,
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,,,,
4c566805-3ed7-43b2-8ce1-71ad7da16729,01,,,,
403a86dd-da15-41c7-934d-8cb2d71dfc0e,01,,,,
01a3c317-3099-4370-8c57-b8578c02eec7,01,553346.04,EUR,,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,,,,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,475560.34,EUR,,
5024b561-9182-4174-8d54-bee71dd951b7,01,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,8998973.88,EUR,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,,,,
f3dbf992-f72d-453e-91fa-e4875a88efd7,01,225344,EUR,,
697d148e-d366-4d4c-a115-5476bbf2f0ac,01,1665052.86,EUR,,
28dac269-fd17-419e-afc3-18b5e18ac138,01,29650.00,EUR,,
19472414-7e91-4b88-ac14-f8a29741a6f5,01,0,EUR,,
c804d707-ce16-4d9e-a0ff-1fc1acf61105,01,22546.41,EUR,,
7b8f6aaa-7500-4a2b-8907-776408f3a189,01,,,,
ff280699-9dcb-44bd-9cc0-5be2fb8bc31d,01,41632.65,EUR,,
87865198-cdf9-4dd6-bd2d-f1e92723c465,01,1,EUR,,
