noticeIdentifier,noticeVersion,lotIdentifier,procedureLotResultNumber,winnerChosen,notAwardedReason,frameworkMaximumValue,frameworkMaximumValueCurrency,frameworkEstimatedValue,frameworkEstimatedValueCurrency,tenderValueLowest,tenderValueLowestCurrency,tenderValueHighest,tenderValueHighestCurrency
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,LOT-0000,0,,,,,,,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,LOT-0000,0,,,,,,,,,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,LOT-0001,0,selec-w,,,,,,,,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,LOT-0001,0,selec-w,,,,,,,,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,LOT-0001,0,,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0001,0,selec-w,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0002,1,selec-w,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0003,2,selec-w,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0004,3,selec-w,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LOT-0005,4,selec-w,,,,,,,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,LOT-0001,0,selec-w,,,,,,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,LOT-0001,0,selec-w,,,,,,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,LOT-0002,1,selec-w,,,,,,,,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,LOT-0000,0,selec-w,,,,,,,,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,LOT-0000,0,selec-w,,,,,,,,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,LOT-0000,0,clos-nw,rev-buyer,,,,,,,,
05406422-b01c-4501-81f5-f3a35c83851f,01,LOT-0001,0,selec-w,,,,,,,,,
671a062d-0e72-4040-807f-446ce257be29,01,LOT-0001,0,selec-w,,,,,,34516.90,EUR,43072.51,EUR
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,LOT-0001,0,selec-w,,,,,,,,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,LOT-0002,1,selec-w,,,,,,,,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,LOT-0001,0,selec-w,,,,,,,,,
c04ac815-abf6-4327-b5a9-43ba95631cae,01,LOT-0001,0,selec-w,,,,,,259261.28,EUR,536616.00,EUR
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,LOT-0000,0,selec-w,,,,,,,,,
4d11e71f-98dd-451f-b082-d5af534b3236,01,LOT-0001,0,selec-w,,,,,,84618.82,EUR,91423.71,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0001,0,selec-w,,,,,,4350.00,EUR,9613.38,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0010,1,clos-nw,ins-fund,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0011,2,selec-w,,,,,,5780.00,EUR,8597.79,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0012,3,selec-w,,,,,,6764.96,EUR,13000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0013,4,clos-nw,ins-fund,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0014,5,clos-nw,ins-fund,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0015,6,selec-w,,,,,,4870.00,EUR,14481.31,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0016,7,selec-w,,,,,,5825.01,EUR,13000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0017,8,selec-w,,,,,,3760.05,EUR,10100.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0018,9,selec-w,,,,,,4009.50,EUR,8250.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0019,10,clos-nw,ins-fund,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0002,11,selec-w,,,,,,0.00,EUR,9000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0020,12,selec-w,,,,,,3346.00,EUR,10071.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0021,13,selec-w,,,,,,4000.00,EUR,13988.94,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0022,14,selec-w,,,,,,4854.00,EUR,10071.00,EUR
