noticeIdentifier,noticeVersion,tenderIdentifier,lotIdentifier,tenderValue,tenderValueCurrency,tenderPaymentValue,tenderPaymentValueCurrency,tenderPenalties,tenderPenaltiesCurrency,tenderRank,concessionRevenueUser,concessionRevenueUserCurrency,concessionRevenueBuyer,concessionRevenueBuyerCurrency,countryOrigin
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,TEN-0000,LOT-0000,0,EUR,,,,,,,,,,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,TEN-0001,LOT-0000,,,,,,,,,,,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,TEN-0001,LOT-0001,2387984.00,EUR,,,,,,,,,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,TEN-0001,LOT-0001,337994.58,EUR,,,,,,,,,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,TEN-0000,LOT-0001,,,,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,TEN-0005,LOT-0001,,,,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,TEN-0003,LOT-0002,,,,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,TEN-0004,LOT-0003,,,,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,TEN-0001,LOT-0004,,,,,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,TEN-0002,LOT-0005,,,,,,,,,,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,TEN-0001,LOT-0001,4503019.57,EUR,,,,,1,,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,TEN-0001,LOT-0001,0.01,EUR,,,,,,,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,TEN-0002,LOT-0002,0.01,EUR,,,,,,,,,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,TEN-0001,LOT-0000,,,,,,,,,,,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,TEN-0001,LOT-0000,,,,,,,,,,,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,TEN-0001,LOT-0000,,,,,,,,,,,,
05406422-b01c-4501-81f5-f3a35c83851f,01,TEN-0001,LOT-0001,231488.00,EUR,,,,,1,,,,,
671a062d-0e72-4040-807f-446ce257be29,01,TEN-0001,LOT-0001,34516,EUR,,,,,,,,,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,TEN-0002,LOT-0001,,,,,,,,,,,,
